platform,score,link,userScore,releaseDate,Title,
3ds,73,https://www.metacritic.com/game/3ds/puzzle-dragons-z-+-puzzle-dragons-super-mario-bros-edition,7.5,2015-05-22,Puzzle & Dragons Z + Puzzle & Dragons: Super Mario Bros. Edition,
3ds,73,https://www.metacritic.com/game/3ds/disney-magical-world-2,5.5,2016-10-14,Disney Magical World 2,
3ds,73,https://www.metacritic.com/game/3ds/fantasy-life,8.4,2014-10-24,Fantasy Life,
3ds,73,https://www.metacritic.com/game/3ds/harmoknight,7.5,2013-03-28,HarmoKnight,
3ds,73,https://www.metacritic.com/game/3ds/project-x-zone-2,7.7,2016-02-16,Project X Zone 2,
3ds,73,https://www.metacritic.com/game/3ds/the-legend-of-zelda-tri-force-heroes,7.5,2015-10-23,The Legend of Zelda: Tri Force Heroes,
3ds,73,https://www.metacritic.com/game/3ds/pro-evolution-soccer-2012-3d,7.7,2012-02-01,Pro Evolution Soccer 2012 3D,
3ds,73,https://www.metacritic.com/game/3ds/picross-e,7.1,2013-06-13,Picross e,
3ds,73,https://www.metacritic.com/game/3ds/mighty-switch-force!-2,7.4,2013-06-13,Mighty Switch Force! 2,
3ds,73,https://www.metacritic.com/game/3ds/pro-evolution-soccer-2011-3d,6.9,2011-03-25,Pro Evolution Soccer 2011 3D,
3ds,73,https://www.metacritic.com/game/3ds/scribblenauts-unlimited,7.7,2012-11-13,Scribblenauts Unlimited,
3ds,73,https://www.metacritic.com/game/3ds/lbx-little-battlers-experience,7.4,2015-08-21,LBX: Little Battlers eXperience,
3ds,72,https://www.metacritic.com/game/3ds/castlevania-lords-of-shadow---mirror-of-fate,7.2,2013-03-05,Castlevania: Lords of Shadow - Mirror of Fate,
3ds,72,https://www.metacritic.com/game/3ds/order-up!!,6.5,2012-06-21,Order Up!!,
3ds,72,https://www.metacritic.com/game/3ds/return-to-popolocrois-a-story-of-seasons-fairytale,6.5,2016-03-01,Return to PoPoLoCrois: A Story of Seasons Fairytale,
3ds,72,https://www.metacritic.com/game/3ds/gurumin-3d-a-monstrous-adventure,7.6,2016-10-13,Gurumin 3D: A Monstrous Adventure,
3ds,72,https://www.metacritic.com/game/3ds/inazuma-eleven-3-bomb-blast,7.7,2013-09-27,Inazuma Eleven 3: Bomb Blast,
