title,platform,score,releaseDate,link
"LEGO Pirates of the Caribbean: The Video Game","xbox360",73,"2011-05-10","https://www.metacritic.com/game/xbox-360/lego-pirates-of-the-caribbean-the-video-game"
"LEGO Rock Band","xbox360",71,"2009-11-03","https://www.metacritic.com/game/xbox-360/lego-rock-band"
"LEGO Star Wars III: The Clone Wars","xbox360",75,"2011-03-22","https://www.metacritic.com/game/xbox-360/lego-star-wars-iii-the-clone-wars"
"Lips","xbox360",71,"2008-11-18","https://www.metacritic.com/game/xbox-360/lips"
"Lips: Number One Hits","xbox360",70,"2009-10-20","https://www.metacritic.com/game/xbox-360/lips-number-one-hits"
"Lode Runner","xbox360",76,"2009-04-22","https://www.metacritic.com/game/xbox-360/lode-runner"
"Lollipop Chainsaw","xbox360",70,"2012-06-12","https://www.metacritic.com/game/xbox-360/lollipop-chainsaw"
"Luxor 2","xbox360",70,"2007-04-04","https://www.metacritic.com/game/xbox-360/luxor-2"
"Madden NFL 06","xbox360",74,"2005-11-16","https://www.metacritic.com/game/xbox-360/madden-nfl-06"
"Mafia II","xbox360",74,"2010-08-24","https://www.metacritic.com/game/xbox-360/mafia-ii"
"Magic: The Gathering - Duels of the Planeswalkers","xbox360",75,"2009-10-16","https://www.metacritic.com/game/xbox-360/magic-the-gathering---duels-of-the-planeswalkers"
"Magic: The Gathering - Duels of the Planeswalkers 2012","xbox360",75,"2011-06-15","https://www.metacritic.com/game/xbox-360/magic-the-gathering---duels-of-the-planeswalkers-2012"
"Majin and the Forsaken Kingdom","xbox360",74,"2010-11-23","https://www.metacritic.com/game/xbox-360/majin-and-the-forsaken-kingdom"
"Major League Baseball 2K10","xbox360",76,"2010-03-02","https://www.metacritic.com/game/xbox-360/major-league-baseball-2k10"
"Major League Baseball 2K8","xbox360",70,"2008-03-03","https://www.metacritic.com/game/xbox-360/major-league-baseball-2k8"
"Marvel: Ultimate Alliance 2","xbox360",73,"2009-09-15","https://www.metacritic.com/game/xbox-360/marvel-ultimate-alliance-2"
"Mass Effect 2: Kasumi - Stolen Memory","xbox360",71,"2010-04-06","https://www.metacritic.com/game/xbox-360/mass-effect-2-kasumi---stolen-memory"
"Mass Effect 3: Leviathan","xbox360",74,"2012-08-28","https://www.metacritic.com/game/xbox-360/mass-effect-3-leviathan"
"Medal of Honor","xbox360",74,"2010-10-12","https://www.metacritic.com/game/xbox-360/medal-of-honor"
"Medal of Honor: Airborne","xbox360",73,"2007-09-04","https://www.metacritic.com/game/xbox-360/medal-of-honor-airborne"
"Mercenaries 2: World in Flames","xbox360",72,"2008-08-31","https://www.metacritic.com/game/xbox-360/mercenaries-2-world-in-flames"
"Mercury Hg","xbox360",74,"2011-09-28","https://www.metacritic.com/game/xbox-360/mercury-hg"
"Meteos Wars","xbox360",71,"2008-12-10","https://www.metacritic.com/game/xbox-360/meteos-wars"
"Mini Ninjas","xbox360",73,"2009-09-08","https://www.metacritic.com/game/xbox-360/mini-ninjas"
"Mortal Kombat vs. DC Universe","xbox360",72,"2008-11-16","https://www.metacritic.com/game/xbox-360/mortal-kombat-vs-dc-universe"
"Motocross Madness","xbox360",73,"2013-04-10","https://www.metacritic.com/game/xbox-360/motocross-madness"
"MotoGP 13","xbox360",72,"2013-06-21","https://www.metacritic.com/game/xbox-360/motogp-13"
"MX vs. ATV Reflex","xbox360",75,"2009-12-01","https://www.metacritic.com/game/xbox-360/mx-vs-atv-reflex"
"MX vs. ATV Untamed","xbox360",70,"2007-12-17","https://www.metacritic.com/game/xbox-360/mx-vs-atv-untamed"
"Naruto Shippuden: Ultimate Ninja Storm 2","xbox360",74,"2010-10-19","https://www.metacritic.com/game/xbox-360/naruto-shippuden-ultimate-ninja-storm-2"
"Naruto Shippuden: Ultimate Ninja Storm 3","xbox360",70,"2013-03-05","https://www.metacritic.com/game/xbox-360/naruto-shippuden-ultimate-ninja-storm-3"
"Naruto Shippuden: Ultimate Ninja Storm Generations","xbox360",74,"2012-03-13","https://www.metacritic.com/game/xbox-360/naruto-shippuden-ultimate-ninja-storm-generations"
"NASCAR The Game: Inside Line","xbox360",72,"2012-11-06","https://www.metacritic.com/game/xbox-360/nascar-the-game-inside-line"
"NBA 2K10: Draft Combine","xbox360",71,"2009-08-26","https://www.metacritic.com/game/xbox-360/nba-2k10-draft-combine"
"NBA Baller Beats","xbox360",73,"2012-09-11","https://www.metacritic.com/game/xbox-360/nba-baller-beats"
"NBA Jam","xbox360",75,"2010-11-15","https://www.metacritic.com/game/xbox-360/nba-jam"
"NBA Live 08","xbox360",73,"2007-10-01","https://www.metacritic.com/game/xbox-360/nba-live-08"
"NCAA Basketball 09","xbox360",70,"2008-11-17","https://www.metacritic.com/game/xbox-360/ncaa-basketball-09"
"NCAA Basketball 10","xbox360",75,"2009-11-16","https://www.metacritic.com/game/xbox-360/ncaa-basketball-10"
"NCAA Football 13","xbox360",76,"2012-07-10","https://www.metacritic.com/game/xbox-360/ncaa-football-13"
"NCAA Football 14","xbox360",77,"2013-07-09","https://www.metacritic.com/game/xbox-360/ncaa-football-14"
"NCAA March Madness 08","xbox360",69,"2007-12-11","https://www.metacritic.com/game/xbox-360/ncaa-march-madness-08"
"Need for Speed ProStreet","xbox360",72,"2007-11-15","https://www.metacritic.com/game/xbox-360/need-for-speed-prostreet"
"Need for Speed: Rivals","xbox360",76,"2013-11-19","https://www.metacritic.com/game/xbox-360/need-for-speed-rivals"
"NHL 2K6","xbox360",75,"2005-11-16","https://www.metacritic.com/game/xbox-360/nhl-2k6"
"NHL 2K8","xbox360",71,"2007-09-10","https://www.metacritic.com/game/xbox-360/nhl-2k8"
"NiGHTS into Dreams...","xbox360",72,"2012-10-05","https://www.metacritic.com/game/xbox-360/nights-into-dreams"
"Nike+ Kinect Training","xbox360",71,"2012-10-30","https://www.metacritic.com/game/xbox-360/nike+-kinect-training"
"Ninja Gaiden 3: Razor's Edge","xbox360",70,"2013-04-02","https://www.metacritic.com/game/xbox-360/ninja-gaiden-3-razors-edge"
"Omega Five","xbox360",72,"2008-01-09","https://www.metacritic.com/game/xbox-360/omega-five"
"Overlord","xbox360",76,"2007-06-26","https://www.metacritic.com/game/xbox-360/overlord"
"Overlord II","xbox360",75,"2009-06-23","https://www.metacritic.com/game/xbox-360/overlord-ii"
"Panzer General: Allied Assault","xbox360",75,"2009-10-21","https://www.metacritic.com/game/xbox-360/panzer-general-allied-assault"
"Paperboy","xbox360",71,"2007-02-14","https://www.metacritic.com/game/xbox-360/paperboy"
"Payday 2","xbox360",75,"2013-08-13","https://www.metacritic.com/game/xbox-360/payday-2"
"Penny Arcade Adventures: Episode One","xbox360",76,"2008-05-21","https://www.metacritic.com/game/xbox-360/penny-arcade-adventures-episode-one"
"Penny Arcade Adventures: Episode Two","xbox360",75,"2008-10-29","https://www.metacritic.com/game/xbox-360/penny-arcade-adventures-episode-two"
"Phantom Breaker: Battle Grounds","xbox360",72,"2013-02-27","https://www.metacritic.com/game/xbox-360/phantom-breaker-battle-grounds"
"Pid","xbox360",72,"2012-10-31","https://www.metacritic.com/game/xbox-360/pid"
"Polar Panic","xbox360",70,"2009-12-23","https://www.metacritic.com/game/xbox-360/polar-panic"
"Prince of Persia: The Forgotten Sands","xbox360",74,"2010-05-18","https://www.metacritic.com/game/xbox-360/prince-of-persia-the-forgotten-sands"
"Pro Evolution Soccer 2008","xbox360",76,"2008-03-11","https://www.metacritic.com/game/xbox-360/pro-evolution-soccer-2008"
"Pro Evolution Soccer 2009","xbox360",74,"2008-11-11","https://www.metacritic.com/game/xbox-360/pro-evolution-soccer-2009"
"Prototype 2","xbox360",74,"2012-04-24","https://www.metacritic.com/game/xbox-360/prototype-2"
"Puzzle Quest: Galactrix","xbox360",76,"2009-04-08","https://www.metacritic.com/game/xbox-360/puzzle-quest-galactrix"
"Quake 4","xbox360",75,"2005-11-18","https://www.metacritic.com/game/xbox-360/quake-4"
