platform,Title,Score,compatibility,link,user score,release date,Price,price charting id,,release year,score tier,score pctl,price tier,price pctl,points per dollar,ppd 69,
3ds,Monster Hunter 3 Ultimate,79,,https://www.metacritic.com/game/3ds/monster-hunter-3-ultimate,7.9,"Mar 19, 2013",,,,2013,,,,,,,
3ds,Stella Glow,79,,https://www.metacritic.com/game/3ds/stella-glow,8.4,"Nov 17, 2015",,,,2015,,,,,,,
3ds,Professor Layton VS Phoenix Wright Ace Attorney,79,,https://www.metacritic.com/game/3ds/professor-layton-vs-phoenix-wright-ace-attorney,8.3,"Aug 29, 2014",,,,2014,,,,,,,
3ds,ZEN Pinball 3D,79,,https://www.metacritic.com/game/3ds/zen-pinball-3d,7.8,"Jan 12, 2012",,,,2012,,,,,,,
3ds,Captain Toad: Treasure Tracker,79,,https://www.metacritic.com/game/3ds/captain-toad-treasure-tracker,6.8,"Jul 13, 2018",,,,2018,,,,,,,
3ds,Mighty Switch Force!,79,,https://www.metacritic.com/game/3ds/mighty-switch-force!,7.7,"Dec 22, 2011",,,,2011,,,,,,,
3ds,Monster Hunter Stories,79,,https://www.metacritic.com/game/3ds/monster-hunter-stories,8.2,"Sep 8, 2017",,,,2017,,,,,,,
3ds,The Denpa Men: They Came By Wave,78,,https://www.metacritic.com/game/3ds/the-denpa-men-they-came-by-wave,7.5,"Sep 27, 2012",,,,2012,,,,,,,
3ds,Metal Gear Solid: Snake Eater 3D,78,,https://www.metacritic.com/game/3ds/metal-gear-solid-snake-eater-3d,7.9,"Feb 21, 2012",,,,2012,,,,,,,
3ds,Theatrhythm Final Fantasy,78,,https://www.metacritic.com/game/3ds/theatrhythm-final-fantasy,7.8,"Jul 3, 2012",,,,2012,,,,,,,
3ds,Fluidity: Spin Cycle,78,,https://www.metacritic.com/game/3ds/fluidity-spin-cycle,6.6,"Dec 27, 2012",,,,2012,,,,,,,
3ds,Mario and Donkey Kong: Minis on the Move,78,,https://www.metacritic.com/game/3ds/mario-and-donkey-kong-minis-on-the-move,7.3,"May 9, 2013",,,,2013,,,,,,,
3ds,Mario Golf: World Tour,78,,https://www.metacritic.com/game/3ds/mario-golf-world-tour,8.1,"May 2, 2014",,,,2014,,,,,,,
3ds,WarioWare Gold,78,,https://www.metacritic.com/game/3ds/warioware-gold,8.1,"Aug 3, 2018",,,,2018,,,,,,,
3ds,Rune Factory 4,78,,https://www.metacritic.com/game/3ds/rune-factory-4,8.2,"Oct 1, 2013",,,,2013,,,,,,,
